EmployeeID,Age,Gender,EducationLevel,Department,JobRole,OfficeLocation,YearsAtCompany,TotalWorkingYears,MonthlyIncomeUSD,TrainingHoursLastYear,ProjectsCompletedLastCycle,LastPerformanceRating,SatisfactionScore,WorkLifeBalanceScore,OverTimeHoursLastMonth,PromotionLast2Years,AvgDailyCommuteTimeMin,TechnicalSkillScore,SoftSkillScore,EngagementSurveyScore,NumDirectReports,PerformanceScoreOutOf100,LeftCompanyWithinYear
EMP0115,26,Female,Master's,HR,Associate,Remote,3,14,7286,82,3,3,3.0,4,53,0,0.0,75,87,3.7,0,42,0
EMP0116,53,Female,High School,Marketing,Engineer,Branch-CityC,15,21,7121,110,5,3,1.0,1,21,0,47.0,66,91,3.5,0,39,1
EMP0117,41,Female,High School,Engineering,Analyst,Remote,13,27,7226,46,3,2,,3,22,1,0.0,96,77,4.3,0,58,1
EMP0118,24,Female,Bachelor's,Engineering,Director,Branch-CityB,2,4,6685,152,3,3,1.0,3,27,0,85.0,98,81,4.4,7,62,1
EMP0119,33,Male,Bachelor's,HR,Associate,Remote,11,21,8464,10,0,4,4.0,2,25,0,0.0,40,61,3.2,0,38,0
EMP0120,47,Male,PhD,Operations,Senior Engineer,Remote,7,19,7630,136,2,4,4.0,2,8,1,0.0,89,56,4.3,0,52,0
EMP0121,33,Female,Bachelor's,HR,Associate,Branch-CityB,1,15,7156,128,4,4,4.0,4,4,0,21.0,44,59,3.5,0,38,0
EMP0122,57,Male,Bachelor's,Finance,Analyst,HQ-CityA,24,32,9709,153,4,2,1.0,2,0,0,13.0,76,77,3.1,0,52,0
EMP0123,51,Male,High School,Engineering,Specialist,Branch-CityC,19,20,6863,99,1,5,2.0,1,10,0,42.0,64,52,4.0,0,41,1
EMP0124,35,Female,Master's,Marketing,Senior Engineer,Branch-CityB,13,26,9064,41,1,3,3.0,3,29,1,60.0,85,87,3.2,0,46,0
EMP0125,24,Female,Master's,Engineering,Manager,Branch-CityC,2,12,5949,167,3,2,2.0,1,26,0,36.0,91,87,2.9,5,54,1
EMP0126,51,Male,Master's,HR,Analyst,Branch-CityC,11,25,8388,47,4,3,1.0,3,11,1,14.0,43,90,3.2,0,36,0
EMP0127,27,Male,PhD,Finance,Director,Branch-CityB,6,12,6290,182,1,3,2.0,2,41,1,32.0,62,92,4.8,2,49,0
EMP0128,56,Male,PhD,HR,Manager,Branch-CityC,34,40,12330,139,4,3,3.0,2,25,0,37.0,75,85,3.5,3,48,0
EMP0129,33,Male,PhD,Marketing,Analyst,HQ-CityA,9,23,7381,100,4,3,4.0,2,12,0,41.0,46,99,3.6,0,51,0
EMP0130,37,Male,Bachelor's,Operations,Director,Remote,3,8,5763,154,2,4,3.0,2,10,0,0.0,81,53,4.8,7,47,0
EMP0131,30,Male,High School,Marketing,Specialist,Remote,1,9,6012,193,4,3,1.0,3,8,1,0.0,96,73,3.5,0,59,1
EMP0132,32,Female,Bachelor's,HR,Analyst,Branch-CityC,5,15,5561,113,4,2,4.0,2,60,0,34.0,48,74,3.3,0,33,0
EMP0133,24,Male,High School,HR,Manager,Remote,1,8,5085,161,4,5,2.0,2,12,0,0.0,42,92,4.3,4,35,1
EMP0134,47,Female,Bachelor's,Marketing,Associate,HQ-CityA,10,15,7854,116,4,3,3.0,3,25,0,36.0,56,66,4.2,0,49,0
EMP0135,24,Female,Master's,Operations,Analyst,Branch-CityC,3,11,6145,132,2,4,2.0,3,15,0,16.0,52,73,4.3,0,36,1
EMP0136,56,Female,Bachelor's,Operations,Senior Engineer,HQ-CityA,5,19,7568,8,3,1,2.0,2,30,0,55.0,41,91,4.3,0,35,0
EMP0137,45,Female,Master's,Operations,Manager,Branch-CityB,2,16,6333,116,0,1,3.0,2,28,0,,40,70,4.9,8,25,0
EMP0138,52,Male,Bachelor's,Marketing,Analyst,Remote,0,2,4775,29,2,4,1.0,3,9,0,0.0,76,57,4.6,0,55,1
EMP0139,32,Female,Bachelor's,Engineering,Engineer,Branch-CityC,4,4,5189,180,2,4,3.0,3,36,0,63.0,45,51,3.9,0,33,0
EMP0140,36,Female,Bachelor's,HR,Engineer,Remote,2,10,5143,49,3,5,1.0,3,23,0,0.0,99,64,5.0,0,55,1
EMP0141,35,Male,Bachelor's,HR,Associate,HQ-CityA,3,12,6436,1,1,3,2.0,3,17,1,32.0,65,77,4.6,0,34,0
EMP0142,26,Female,Bachelor's,Marketing,Director,HQ-CityA,4,7,5350,184,2,1,1.0,3,18,0,34.0,86,94,3.0,7,54,1
EMP0143,53,Female,PhD,Sales,Associate,Remote,32,37,9467,36,2,3,4.0,2,16,0,0.0,45,80,4.8,0,38,0
EMP0144,48,Female,Bachelor's,Operations,Specialist,HQ-CityA,24,33,11509,174,0,3,3.0,4,23,0,82.0,66,74,4.0,0,45,0
EMP0145,46,Female,Bachelor's,Engineering,Associate,Branch-CityB,3,8,5862,88,1,4,2.0,3,8,0,36.0,87,53,4.2,0,47,1
EMP0146,27,Other,High School,Operations,Manager,Remote,0,9,6243,89,3,4,4.0,3,6,0,0.0,83,72,4.0,4,54,0
EMP0147,35,Female,High School,Marketing,Engineer,Remote,5,11,5568,180,3,3,4.0,2,16,0,0.0,82,75,4.5,0,48,0
EMP0148,32,Female,Master's,Finance,Manager,HQ-CityA,5,7,5741,119,5,3,4.0,4,30,0,59.0,52,99,2.8,4,50,0
EMP0149,54,Female,High School,Marketing,Associate,HQ-CityA,7,8,5559,132,4,2,3.0,3,2,0,32.0,50,92,3.1,0,49,0
EMP0150,59,Male,Bachelor's,Finance,Manager,HQ-CityA,0,3,5793,160,1,1,4.0,3,12,0,23.0,97,71,4.0,4,60,0
EMP0151,39,Female,Master's,Sales,Specialist,Branch-CityC,3,10,6340,46,1,3,1.0,4,24,0,32.0,74,79,4.1,0,48,1
EMP0152,52,Female,Master's,Marketing,Engineer,HQ-CityA,0,11,5514,107,2,3,3.0,3,16,0,25.0,97,70,4.6,0,59,0
EMP0153,58,Female,Bachelor's,HR,Manager,Branch-CityC,21,22,7991,104,1,3,4.0,3,16,0,51.0,94,92,3.7,6,63,0
EMP0154,22,Male,High School,Finance,Associate,Branch-CityC,1,15,7657,161,4,3,1.0,4,7,0,31.0,58,92,5.0,0,52,1
EMP0155,42,Female,High School,Marketing,Manager,HQ-CityA,20,28,8599,55,6,4,4.0,3,4,0,10.0,58,65,5.0,5,37,0
EMP0156,43,Male,Bachelor's,Sales,Manager,Branch-CityB,8,16,7998,132,1,3,4.0,1,5,0,,79,97,3.1,8,56,0
EMP0157,56,Male,Bachelor's,Marketing,Senior Engineer,Branch-CityC,11,18,7633,181,2,3,3.0,1,9,0,32.0,71,61,3.5,0,38,0
EMP0158,27,Other,Bachelor's,Finance,Senior Engineer,Remote,1,7,5880,151,2,3,3.0,2,19,0,0.0,72,92,3.4,0,58,0
EMP0159,38,Male,Bachelor's,Sales,Analyst,Branch-CityC,6,7,5504,89,2,3,3.0,2,5,0,48.0,55,81,3.0,0,40,0
EMP0160,53,Female,Master's,Marketing,Engineer,Remote,0,11,5601,117,3,3,3.0,1,2,1,0.0,91,79,3.1,0,47,0
EMP0161,29,Female,Master's,Marketing,Engineer,HQ-CityA,1,11,5650,124,3,3,3.0,2,3,0,54.0,47,66,2.9,0,35,0
EMP0162,36,Female,Bachelor's,Sales,Associate,Remote,1,8,6227,191,0,4,4.0,1,30,1,0.0,82,54,3.3,0,44,0
EMP0163,41,Male,PhD,Operations,Engineer,Branch-CityC,0,6,5787,191,7,2,4.0,3,9,0,19.0,48,98,4.5,0,50,0
EMP0164,55,Female,Bachelor's,Sales,Engineer,Branch-CityC,5,12,5197,50,2,3,4.0,2,48,0,64.0,67,69,3.1,0,36,0
EMP0165,24,Male,High School,Engineering,Engineer,HQ-CityA,1,1,4226,87,5,3,,2,25,0,23.0,89,53,3.2,0,51,1
EMP0166,42,Male,High School,Operations,Specialist,Remote,21,23,7362,76,1,2,1.0,2,18,1,0.0,59,50,3.8,0,37,1
EMP0167,36,Female,High School,HR,Associate,Branch-CityB,2,4,5247,42,3,4,2.0,3,44,0,28.0,52,96,3.8,0,44,0
EMP0168,30,Female,Bachelor's,Engineering,Manager,Branch-CityB,7,19,8159,47,1,2,3.0,3,38,0,58.0,69,62,3.9,6,46,0
EMP0169,24,Other,Bachelor's,Finance,Specialist,Branch-CityC,2,12,7004,4,8,4,4.0,3,73,0,40.0,93,72,3.6,0,60,0
EMP0170,23,Male,Bachelor's,Operations,Associate,HQ-CityA,0,14,8336,0,1,2,3.0,2,16,1,12.0,60,78,3.4,0,37,0
EMP0171,41,Male,Bachelor's,Finance,Director,Branch-CityC,18,31,9905,50,5,2,4.0,3,38,0,,86,59,3.5,9,51,0
EMP0172,29,Male,Bachelor's,HR,Engineer,HQ-CityA,4,7,4519,198,3,1,4.0,1,21,0,5.0,91,55,4.3,0,59,0
EMP0173,38,Female,High School,Marketing,Senior Engineer,HQ-CityA,10,23,7753,63,4,2,3.0,3,11,0,29.0,72,81,4.3,0,54,0
EMP0174,32,Female,Master's,Sales,Specialist,Remote,11,14,7046,160,5,3,3.0,1,19,0,0.0,69,52,3.5,0,40,0
EMP0175,50,Male,Bachelor's,Operations,Engineer,HQ-CityA,4,11,6469,135,0,1,3.0,1,11,1,24.0,62,62,2.6,0,46,0
EMP0176,59,Male,PhD,Finance,Engineer,Branch-CityB,29,31,10723,75,6,4,1.0,2,23,0,56.0,85,97,4.9,0,54,1
EMP0177,49,Male,Master's,Operations,Manager,HQ-CityA,27,28,10372,66,2,4,4.0,3,24,1,71.0,49,99,3.5,2,46,0
EMP0178,45,Male,Bachelor's,Sales,Director,Branch-CityC,24,33,10375,180,4,3,4.0,2,6,0,15.0,85,54,5.0,9,46,0
EMP0179,55,Female,Master's,Operations,Director,Branch-CityB,33,40,9074,174,4,3,4.0,2,40,0,,90,74,2.8,8,52,0
EMP0180,37,Male,Bachelor's,Engineering,Associate,Remote,1,6,5721,121,1,5,2.0,4,44,0,0.0,99,57,3.2,0,63,1
EMP0181,57,Male,PhD,HR,Senior Engineer,HQ-CityA,25,34,9399,193,8,3,3.0,1,22,0,13.0,49,80,4.7,0,45,0
EMP0182,56,Male,Bachelor's,Marketing,Associate,Remote,26,27,8838,78,3,3,3.0,2,23,0,0.0,91,54,3.4,0,46,0
EMP0183,51,Female,Bachelor's,Sales,Manager,Branch-CityB,24,32,7861,44,3,2,4.0,4,13,0,34.0,50,95,3.8,6,39,0
EMP0184,26,Female,PhD,Finance,Director,HQ-CityA,2,13,6653,85,0,3,3.0,1,2,0,26.0,51,75,4.3,2,28,0
